building_key,tier,band,n,max_floor,age_band,year,ok,low,mid,high,top
00e196024acb1374758e94ace8e141e2d9f167660ea5a9c76fdf4ba8499002fb,nonurban,le15,178,15.0,a21_30,1999.0,True,104.17544126378995,108.58286861371307,108.09874645722203,
00e24f2b20b4873c7fe9f752b3f8176d474b7ce894030ae5ec184e53d3fc55d0,other_urban,le15,106,15.0,a11_20,2008.0,True,107.55333443287552,114.69125604169574,117.59316281624609,
00eef161d1f13554a640873d31630ff6aa9f242db712d46a9688b34af9930bfa,metro,ge26,210,29.0,le10,2021.0,True,104.96187323914327,105.26847278087136,105.06012680764145,
00f04040233199d5063c215d76ca69fe0dcc916dc1af315d4c55d63d98b328d1,nonurban,m16_25,63,19.0,a21_30,1997.0,True,100.0396211937312,105.6688761953761,103.07627963055614,
010b64edb339b1558858088763c49642bc73992ac865612e65b50b5d95d497f0,metro,le15,149,15.0,a11_20,2008.0,True,107.66803443951456,111.71615917535158,110.54586785218783,109.43285107934754
0117e632639bce07fd8aece4255be99f85c8646c835755964eb6b841cd4e83b2,other_urban,m16_25,256,20.0,a11_20,2006.0,True,108.99401324930102,112.39214859711733,112.51579535190626,106.38376259467266
012b4e3cb48328f09b5540613710bcf18cf77510aa1f83d0c4c7e6f0dbe29f4c,other_urban,le15,58,5.0,ge31,1993.0,True,,91.87167019048607,75.60352832122187,66.28737257861881
0138503b7f92ff8b44b3339fd4975dba32cbfa949bed59c70b0c67f0538c23cf,other_urban,le15,135,15.0,ge31,1990.0,True,104.56182708171661,109.88081453364723,106.37504910355304,
013af9c529fc9492480a9cbd9230c5c5fcd9c25c18c4ed9c57485db8bf86ebef,other_urban,le15,74,14.0,a11_20,2014.0,True,100.52795617265681,103.02645307034122,105.92208579836999,
01426d727a5272ef21db544498f18f1417ef5bb9ab3e0eab0f431e98274fc384,other_urban,le15,99,5.0,ge31,1988.0,True,,100.62584515955734,101.15500040291896,96.35264518123805
014fd563d28cf9c26bf1159af319c968c49992338106b5c229cec9733de83978,metro,le15,66,15.0,a11_20,2007.0,True,121.7167222437183,125.86477747396259,130.63325313232482,
01541d6bfa61357b452e63964fd88a00c16de3fd62041549c8b7508b5e883ba3,other_urban,le15,57,5.0,ge31,1988.0,True,,100.4711089537429,98.48124769435454,96.85813531638856
015acb22e4ecd90663b1a34185d57cf487b0db17394602c6903baaccbfaf0607,metro,m16_25,234,25.0,a11_20,2007.0,True,106.94316631141409,109.03221114505159,110.43333624852143,108.62277496242953
015e491029d87d4d01dd1d5bb7b91c68de376987521ffa390d2c8232685eefb4,metro,m16_25,82,23.0,ge31,1993.0,True,107.1388329549162,108.77622309719104,117.02390138025665,
0168b323577ead784711e58387c0ea1c11e9b7277598ad265f17800e64165832,other_urban,le15,99,5.0,ge31,1993.0,True,,102.67993610498192,91.49612087533771,82.07652830939263
017709e88b2ebeeff3a6f332214703cabfc4bcfa4194fcde6d8e1f39c39c5091,metro_city,le15,122,13.0,ge31,1981.0,True,100.58366404100812,105.3473852094318,109.44707989792022,109.03489014284749
017a4475f49f5590f2bca5a8bb4e6f799a60fb982cf8627984ce4e29a509f8a5,metro_city,m16_25,106,25.0,a21_30,1996.0,True,114.54419499779154,122.70730491748762,125.03849392488013,
017b1e87bcb590de90007db64da729666fc7d74bd3b49c537e50b33845291a51,other_urban,le15,349,15.0,a21_30,1996.0,True,110.74903283928941,113.70392789975365,114.08370032208887,109.44094109225406
01a3e12e0b3bafe410e8568cf80c84f5701234233ca052ed32e25598bb3640a8,other_urban,le15,310,15.0,a21_30,1999.0,True,108.78071984990552,112.6345866650708,113.18307742730399,109.53456417150194
01a4f51e52d7c855a6bfc81cd4cf01438b40db8a792d24230a66598a5396f4cc,other_urban,le15,176,15.0,a21_30,1999.0,True,100.48470958984322,106.2873407627006,107.82184197235583,106.00681076624723
01abbe12539163a4d41d85f3e1875665ea7a9135372cfd278403ae1af3cd18eb,other_urban,le15,66,15.0,ge31,1995.0,True,108.43022006732801,107.16591722446911,111.42704727384564,108.08207981858389
01ac7dee5ca1c7c45e066e5026134744634f69014d70fd21f1297d101e9d077b,other_urban,m16_25,90,17.0,ge31,1995.0,True,111.82314275155242,121.65603565811418,126.49981938307894,
01b360a6249a5d05450df052fe954935a0f7d12f27293cf20c15631604685910,metro_city,m16_25,87,20.0,a11_20,2007.0,True,103.17739654645686,109.6663372799805,107.69620335825766,
01ba2fe92f4e6ee822d89e96e0eafcd53044b12ae988400967b1f62d78554468,metro_city,m16_25,273,25.0,a11_20,2013.0,True,104.11728312597583,104.64542727686892,110.84440601224001,
01c22fbe60c537b09102e78a0b3e27ecfa0d640dc8e048d959710cc2ed9a716e,nonurban,le15,125,13.0,a21_30,2000.0,True,107.33568633549248,109.22817020984441,111.64484201600729,104.76062470508818
01c752f197249ae52fab23b18c8720088bc242d5f3a28671fe6161c12133c7cb,other_urban,m16_25,183,25.0,le10,2016.0,True,103.96851209982138,107.40790761379581,108.25882455770308,
01d66ceb8b33e00056ac89962ad456b965256614290fbcca4e79dc305203c81d,metro_city,le15,138,15.0,ge31,1993.0,True,105.70271976294288,110.88398523957954,112.38617352339794,
01d85a15304de353d15c502874e5c9ea656198511572f1961f7aee35868d6f5d,metro,le15,127,15.0,a21_30,2001.0,True,106.91321188578749,107.59870362831579,114.16925221090162,111.82784575672638
01e0f2e26e9caab9eaf02d4890d93b50fd26971bd6b93249b5c9a4d9c75fd797,metro_city,m16_25,152,20.0,le10,2018.0,True,102.27328530033353,107.56421338895092,110.15079113624236,
01e761a35b2c3a97b9b87b9c1ac3b471b21fd61534ea3820daad1ed7fcabfb79,metro_city,ge26,213,29.0,le10,2016.0,True,107.35308750826928,110.22507458414852,112.02919935535847,
02060be7885888ddb2ca35a136259d0b02b988b0ab32a361d07c25f0396e57cf,other_urban,m16_25,65,18.0,le10,2020.0,True,106.32762916179941,108.81474712432953,111.12274776097388,129.18561969505237
020ad7a45b2ba533ef6688448ec84b7248f6c09a8ea1a3649d61f06cb1dff231,metro,m16_25,165,22.0,ge31,1995.0,True,105.88458197928492,108.59289650976503,113.20657554359894,
0210cb605676acb498ef4f217ead5a31b36ae7635fab03bc2162ca88422033a8,metro_city,m16_25,197,25.0,a11_20,2013.0,True,111.59951776963707,116.52970042664576,117.64292461232296,
02195f67e17cae5da4b1f6c40c3803326e58190d26da9d88c291d4c15fa793b0,metro,ge26,179,28.0,le10,2016.0,True,106.51781747228732,105.19774868047911,107.37157365495082,108.20421007684806
021c89694e307fd27ab57847b78a63fe6845c44ebdb0e2183d936a36b17d1387,other_urban,m16_25,192,25.0,a21_30,2004.0,True,104.08360701056463,109.92839418094545,110.87952226149709,
022a9a9f0c84e4ca7837b3e1ff0ab3bf80144f51d07826652123d6e6734ffca9,metro,m16_25,181,20.0,a11_20,2014.0,True,101.38841774224217,106.57240533515939,106.02424858541633,107.93745860948954
0232f649b72540bdc589e91100777f2fd6c30f466934125735403332c34ceb2a,metro,le15,161,15.0,a11_20,2011.0,True,106.93077940743349,109.68591056452004,110.86342157452427,107.56897438312191
0250a856e5cd41769a2ba856f4cdc388e4e80055a4c55ba73266789ee5b63243,metro,m16_25,213,20.0,le10,2019.0,True,110.8531243984194,112.46807713171636,112.9845496976148,111.8162930117683
0251612caba758f9bc138f39e61374930a91bed4632f7cb67c37037bb1d7224e,metro,m16_25,349,20.0,a21_30,2000.0,True,108.39440215174425,112.02971994909619,111.20570210737597,111.30623963293904
0251a087615383af85b83b17521b32d2a7e598bee8a115c787dfc2e35bae4458,metro,m16_25,100,19.0,a21_30,2005.0,True,108.75182887905801,108.7460156688407,106.96500436183314,
025d16a4eaf00611361c478e95e16c9a1544c1958c820d6a1f78594c1a118292,other_urban,le15,87,15.0,a21_30,2001.0,True,100.26965252771095,103.38834420246086,103.48213103672992,104.70243137361834
028af900140ca6b23335733597a188f6a07a55f05e08fbc67200c3b8b9c35dd0,metro,m16_25,225,19.0,a21_30,1998.0,True,108.18653234787715,114.28855385258565,113.3771256695496,109.92417171694784
0291cb981703209de3387d9731651dbbdeba66ce1caf0b80811dc8b085c90c19,metro,m16_25,298,21.0,a11_20,2013.0,True,104.26843282650489,107.36912084111121,109.17222575184391,
029c65d833d044cda9dadc407563b9f2814ad55ef2c69879e2c430c1003d9c7e,other_urban,m16_25,66,19.0,a11_20,2015.0,True,108.4709248669762,109.07503508553657,112.12259334367943,
029e9691b1e1984670560594f87aaf124b01c2841b1b2021707309c8777a91d2,nonurban,m16_25,429,25.0,le10,2017.0,True,105.70536518538461,112.03973199913055,115.68039858703763,119.80476454106781
02a919b7dd3363abdfe666a3a096ec706a81fd71f4cf8bebd2abb73a72730dea,other_urban,le15,1506,15.0,a21_30,1998.0,True,108.86475945681704,113.22516377779488,113.37766853204936,106.40968843931805
02aeac95599f2a9bb9b5c07f05716f6301124322e7c88aee2c3f49ead0afee3d,metro,ge26,432,27.0,le10,2020.0,True,109.98681744430434,113.85926739728951,115.65871929419265,114.51119425663157
02b086c3f4e6661320978aa62aecd679c64d9626c331d6579e359b46cd742858,metro,m16_25,209,18.0,a21_30,1999.0,True,109.28742105956893,112.13292532772563,113.70129985948023,113.12702053400872
02b0b4c9f753d41742f8fa9c1a0ef34278a8171fb11cfa25961ed468db0a2d82,metro_city,m16_25,134,25.0,a11_20,2006.0,True,103.83011814069462,105.87001137318772,102.50023282050789,
02b8c35e4547100153ae87b4ec1cfdfa2152b162b897ca6e22695abf3a0f6c7d,metro,le15,86,12.0,ge31,1989.0,True,115.17462942559142,117.10913835845118,117.67164503312928,108.70040455435222
02b9e4a1db1a5c6e5455d857cadd33019149647333d71709783db67aed3028b1,metro_city,m16_25,198,25.0,a21_30,2000.0,True,106.77363133710054,111.85799546714168,108.96030261492025,109.41262760888306
02ba92efa963cc6c61c0e555ebdd1b8380d7cb339f1daf0fd0b736aa88559da3,metro,m16_25,147,20.0,a11_20,2015.0,True,105.57897844836704,105.15902665416436,108.30810918156608,108.05930238582437
02c6390269863b267e4b801e3fd7d53062a0c625705288d18346e7dc56aa01ad,other_urban,le15,159,15.0,ge31,1990.0,True,104.94851244163026,107.80292751437439,110.44276751474986,100.32798337293134
02c885001fa81afa92a7a73033fc7ceb8194c6b482bfb8ca6d28f61b45bf33de,metro,m16_25,161,25.0,le10,2020.0,True,106.32931934291531,110.36809220566279,110.24802970294661,111.34936174122663
02cf579fd122d0a2f51c40755ba8f2d2a470db7c9642ce52bae6d5404fc5cf3c,other_urban,m16_25,236,20.0,a11_20,2012.0,True,108.09007639945472,112.97150269087821,114.16117026503814,111.42544813757044
02d5506edfadb4f2451ab61833c45da9ba03464513cc829fe29b19e38297ef7e,other_urban,le15,197,15.0,a21_30,2004.0,True,106.20086475195723,110.39816770384643,112.61897489335226,110.29104495121939
02d654a800e2018e69f948bf5c8a67d0ad4c41052dbb01af63939e8c32d58a2d,other_urban,le15,110,6.0,le10,2016.0,True,,102.65486965479882,106.66142565101173,138.28588968561232
02e25b650934c4492ba06b3c13b68f4af949aed02fad9b5cb0625815c53eeaaf,other_urban,le15,251,5.0,ge31,1991.0,True,,98.760563287683,93.29066821923038,91.97721688658459
03090d83fa997d573ac436bdfa19ee1af599ee7a565157f4dfd76d3b6245edda,metro,ge26,306,29.0,le10,2020.0,True,106.02333496325554,108.76513866344577,108.93757886854083,107.19234825308625
0330173ddbb199bbeac1c089a23caf455aafc41190fc2f93f83c776ee27cd137,metro,le15,316,15.0,ge31,1993.0,True,107.5330539677762,106.28448440049686,109.02886532237277,108.85011829360498
0343501fda666edabae5fd86c1b44273369867686c008b6fb3ed894058cec6a2,metro,le15,219,15.0,ge31,1993.0,True,104.32299754651298,106.99862440553063,108.67047116061221,100.46168938455406
034b800ca63c91e57064b3f7cc89e83e9b519d4cdc628c95dd4e0dd71fb2a302,metro,le15,325,15.0,ge31,1992.0,True,107.10159726080128,110.25622560373935,111.81909558432037,107.30516151453303
035ec386ed0e1580889ce747c31624661da5f7a12f5bb103e8ec002b79783402,other_urban,le15,54,13.0,ge31,1992.0,True,103.27549244095479,111.35411099991686,107.43024930330893,
03627e783d1adb71b36a1e8d5a87e00c45b462fd7971b358f8f72d39b255bc23,metro_city,m16_25,332,25.0,a21_30,1999.0,True,111.31108216287467,116.75783783021814,118.72966843425026,119.97314089343449
037dba22ae6bedb8c1efafe8abfea71f6e4a4db0ed045a64cdb106e93893c3d7,metro,le15,291,15.0,le10,2020.0,True,104.86210720118765,107.6722689736202,109.07360563165494,109.14605644655566
037f5388219478db1b7f05055264a4272c142a13bfbc2746db0a460fe70c2b0d,other_urban,m16_25,198,23.0,a21_30,1997.0,True,113.30559620209904,119.74424455796128,120.12895718607031,
03805caa5f2b05e06f0aaf3a6be10745c39743d044b5417d3895200dc85289f7,other_urban,ge26,195,28.0,le10,2017.0,True,101.13421550069961,105.97942218041545,107.68768332554647,108.44388857312424
038817d5cc590c19f50a6fdafb875c80a64a6b9e4117da24916d3e518f2778e0,metro,m16_25,116,23.0,a21_30,1996.0,True,110.36833982826923,113.67243843317725,117.17106604066186,
038d1b340f4fc2cf5232fbf8e59f05f8c9bda12a3b53d43d7483776fe9e817c0,metro,m16_25,70,20.0,a21_30,2004.0,True,107.3242222409226,112.22311842254146,109.85625737752729,
03908b5007b4a404ebde58693a97a97b9bebd32f69f6dd802ed56f73c21f7d74,other_urban,le15,249,15.0,ge31,1989.0,True,108.79121215729299,110.45091001608256,108.86066948048858,107.72020276517551
039323568630f9cdd3cd1d7aafcc8d6db7be791b8a08dfb89716e7419d805c76,other_urban,m16_25,81,17.0,a21_30,1998.0,True,104.02507204595162,114.30963356103467,122.43237856720903,
03ac2567030758303e68e7a76d1e2d16f31e649b8f2f20c55f21691dc5da8a85,other_urban,ge26,73,26.0,ge31,1994.0,True,108.34545929465065,111.5375807988895,113.83042628692561,
03b870eb7aa7dc652cf69dd063538e307509ae1d74ea9509ca1c5f041586cc43,metro_city,m16_25,95,20.0,le10,2019.0,True,105.69446125994568,112.11132120734734,116.03664687149227,
03bd0cdee73edfcc9b258110f5896bc5d5571d879c641e7a85672596ffc8975b,metro,m16_25,85,20.0,a21_30,1997.0,True,113.98067195025897,113.71821100495043,113.95940905254875,
03c737736fc4c4c047f1e892956242e44abd547eb50be8b276316f8f97f21b95,other_urban,le15,210,15.0,ge31,1993.0,True,102.23092315065392,104.87983975321204,104.93733927846922,101.51594284962535
03c8b7b607b4a8cf8495839c71beab77505199ec0f9ed6570341fa37a5b57718,nonurban,m16_25,133,20.0,a21_30,2003.0,True,104.43119932724414,111.73173678960097,111.0078609066373,106.77663076159463
03cb7892a5b09d0c0f03d8fd80d3a1f50acdbe25169ddfec5950e1a5048479bb,other_urban,m16_25,122,20.0,a21_30,2004.0,True,104.783229121079,110.52441381631712,112.31379063648221,
03dd19ad13b7453813aa5e3aea5199bb93fc9682a9e5ef2644ad3fddb7ec826f,metro,ge26,291,30.0,le10,2019.0,True,105.65662429220592,107.3085863983263,110.3940825138157,118.31045822748669
03f59df26c7aa1f5c1b69c962e3cda1f278099a969c631e0bb1e3ec4c46f9551,nonurban,le15,107,15.0,a11_20,2006.0,True,110.7750187753029,117.28308968087293,115.7349825527994,123.06017235310622
03fc5ad99e35f0a32beff0242d714338adaf726ca2f08336f6ee9ab4e94d66b3,metro_city,m16_25,241,25.0,a21_30,1999.0,True,107.39368493025752,113.34633031638947,114.95350040509497,112.0469603035631
041212999cf2461626dcaf7850b96e785985524ea008cfba8782b22913001dd0,metro_city,m16_25,138,20.0,a21_30,1996.0,True,110.48714790314294,118.18013207837585,123.14287718029367,
0419462041ee5d31f5a058be4461e28ab832bfe34bb21e99cd566b91b9a0c04a,other_urban,m16_25,150,25.0,le10,2017.0,True,103.7585166301898,107.65457195151174,107.88779519858274,
043edc01da710ac2f8540bc6e905de74be279c18d6868c6760be1ef5f61a7d88,metro_city,le15,273,15.0,ge31,1995.0,True,106.01285870465634,107.33391796982947,108.10989818209859,104.355179754443
044f438a7254b4cd8dc0858732fd60b4a8c777a7e8b1e78af8129bd81cce53c6,other_urban,le15,109,15.0,ge31,1993.0,True,105.67299152297932,111.2851179815213,113.75345862945477,110.13629527393105
0455c7215826efd2db711324a41ff6f302780e0e61882dfdb13c211fb6ad0eed,metro_city,le15,71,5.0,ge31,1990.0,True,,97.89735180497294,93.17609449916829,90.38003433236763
045ae283e3b54245f9cf73617948b4ffb8cc35e76d936e5a7408934c20701733,metro,m16_25,91,20.0,a21_30,1997.0,True,103.55076127918714,106.00714052131895,111.00217756745268,
045c0d15562ba6a8baec26e9490dc80e7502bfc72841a45ec3ecd2896ef8d018,metro,le15,73,15.0,ge31,1987.0,True,103.75594893671835,107.68577192624514,111.94436303667248,
