asset_type,building_key,tier,band,band_alt,legal_kind,n,n_1,n_low,n_mid,n_high,n_top,max_floor,addr1,addr2,addr3,addr4,place
apartment,00eef161d1f13554a640873d31630ff6aa9f242db712d46a9688b34af9930bfa,metro,ge26,m21_30,dong,210,5,71,90,41,3,29.0,서울특별시,영등포구,신길동,,신길동
apartment,00f04040233199d5063c215d76ca69fe0dcc916dc1af315d4c55d63d98b328d1,nonurban,m16_25,le20,eup,63,7,12,25,17,2,19.0,경상북도,칠곡군,왜관읍,,왜관읍
apartment,010b64edb339b1558858088763c49642bc73992ac865612e65b50b5d95d497f0,metro,le15,le20,dong,149,5,38,66,35,5,15.0,서울특별시,강서구,내발산동,,내발산동
apartment,0117e632639bce07fd8aece4255be99f85c8646c835755964eb6b841cd4e83b2,other_urban,m16_25,le20,dong,256,20,58,112,53,13,20.0,전북특별자치도,전주시,덕진구,인후동1가,인후동1가
apartment,012b4e3cb48328f09b5540613710bcf18cf77510aa1f83d0c4c7e6f0dbe29f4c,other_urban,le15,le20,dong,58,10,0,17,19,12,5.0,경상북도,포항시,남구,청림동,청림동
apartment,0138503b7f92ff8b44b3339fd4975dba32cbfa949bed59c70b0c67f0538c23cf,other_urban,le15,le20,dong,135,14,33,47,37,4,15.0,전북특별자치도,전주시,완산구,효자동1가,효자동1가
apartment,013af9c529fc9492480a9cbd9230c5c5fcd9c25c18c4ed9c57485db8bf86ebef,other_urban,le15,le20,dong,74,7,10,28,26,3,14.0,전남광주통합특별시,남구,봉선동,,봉선동
apartment,01426d727a5272ef21db544498f18f1417ef5bb9ab3e0eab0f431e98274fc384,other_urban,le15,le20,dong,99,12,0,41,30,16,5.0,충청남도,천안시,서북구,성정동,성정동
apartment,014fd563d28cf9c26bf1159af319c968c49992338106b5c229cec9733de83978,metro,le15,le20,dong,66,7,16,32,10,1,15.0,경기도,부천시,오정구,여월동,여월동
apartment,01541d6bfa61357b452e63964fd88a00c16de3fd62041549c8b7508b5e883ba3,other_urban,le15,le20,dong,57,12,0,20,13,12,5.0,경상남도,창원시,성산구,용호동,용호동
apartment,015acb22e4ecd90663b1a34185d57cf487b0db17394602c6903baaccbfaf0607,metro,m16_25,m21_30,dong,234,11,66,86,64,7,25.0,경기도,하남시,신장동,,신장동
apartment,015e491029d87d4d01dd1d5bb7b91c68de376987521ffa390d2c8232685eefb4,metro,m16_25,m21_30,dong,82,7,25,44,5,1,23.0,경기도,고양시,일산서구,주엽동,주엽동
apartment,0168b323577ead784711e58387c0ea1c11e9b7277598ad265f17800e64165832,other_urban,le15,le20,dong,99,15,0,32,36,16,5.0,충청남도,보령시,동대동,,동대동
apartment,017709e88b2ebeeff3a6f332214703cabfc4bcfa4194fcde6d8e1f39c39c5091,metro_city,le15,le20,dong,122,5,13,61,28,15,13.0,부산광역시,해운대구,재송동,,재송동
apartment,017a4475f49f5590f2bca5a8bb4e6f799a60fb982cf8627984ce4e29a509f8a5,metro_city,m16_25,m21_30,dong,106,8,33,41,23,1,25.0,부산광역시,부산진구,당감동,,당감동
apartment,017b1e87bcb590de90007db64da729666fc7d74bd3b49c537e50b33845291a51,other_urban,le15,le20,dong,349,21,72,116,111,29,15.0,경상남도,김해시,외동,,외동
apartment,01a3e12e0b3bafe410e8568cf80c84f5701234233ca052ed32e25598bb3640a8,other_urban,le15,le20,dong,310,16,69,127,79,19,15.0,충청남도,천안시,서북구,쌍용동,쌍용동
apartment,01a4f51e52d7c855a6bfc81cd4cf01438b40db8a792d24230a66598a5396f4cc,other_urban,le15,le20,dong,176,8,25,74,58,11,15.0,경상북도,구미시,옥계동,,옥계동
apartment,01abbe12539163a4d41d85f3e1875665ea7a9135372cfd278403ae1af3cd18eb,other_urban,le15,le20,dong,66,7,12,26,15,6,15.0,충청북도,청주시,상당구,용암동,용암동
apartment,01ac7dee5ca1c7c45e066e5026134744634f69014d70fd21f1297d101e9d077b,other_urban,m16_25,le20,dong,90,9,27,35,18,1,17.0,전남광주통합특별시,나주시,죽림동,,죽림동
apartment,01b360a6249a5d05450df052fe954935a0f7d12f27293cf20c15631604685910,metro_city,m16_25,le20,dong,87,10,17,34,24,2,20.0,부산광역시,부산진구,연지동,,연지동
apartment,01ba2fe92f4e6ee822d89e96e0eafcd53044b12ae988400967b1f62d78554468,metro_city,m16_25,m21_30,dong,273,11,92,130,38,2,25.0,부산광역시,강서구,지사동,,지사동
apartment,01c22fbe60c537b09102e78a0b3e27ecfa0d640dc8e048d959710cc2ed9a716e,nonurban,le15,le20,eup,125,17,13,60,25,10,13.0,충청북도,청주시,청원구,내수읍,내수읍
apartment,01c752f197249ae52fab23b18c8720088bc242d5f3a28671fe6161c12133c7cb,other_urban,m16_25,m21_30,dong,183,7,43,79,51,3,25.0,경상북도,김천시,율곡동,,율곡동
apartment,01d66ceb8b33e00056ac89962ad456b965256614290fbcca4e79dc305203c81d,metro_city,le15,le20,dong,138,13,32,62,28,3,15.0,대전광역시,서구,둔산동,,둔산동
apartment,01d85a15304de353d15c502874e5c9ea656198511572f1961f7aee35868d6f5d,metro,le15,le20,dong,127,7,27,59,28,6,15.0,경기도,이천시,송정동,,송정동
apartment,01e0f2e26e9caab9eaf02d4890d93b50fd26971bd6b93249b5c9a4d9c75fd797,metro_city,m16_25,le20,dong,152,6,46,61,36,3,20.0,대구광역시,달서구,대곡동,,대곡동
apartment,01e761a35b2c3a97b9b87b9c1ac3b471b21fd61534ea3820daad1ed7fcabfb79,metro_city,ge26,m21_30,dong,213,7,59,106,38,3,29.0,부산광역시,사하구,구평동,,구평동
apartment,02060be7885888ddb2ca35a136259d0b02b988b0ab32a361d07c25f0396e57cf,other_urban,m16_25,le20,dong,65,5,14,19,22,5,18.0,경상북도,상주시,냉림동,,냉림동
apartment,020ad7a45b2ba533ef6688448ec84b7248f6c09a8ea1a3649d61f06cb1dff231,metro,m16_25,m21_30,dong,165,13,54,89,8,1,22.0,경기도,성남시,분당구,금곡동,금곡동
apartment,0210cb605676acb498ef4f217ead5a31b36ae7635fab03bc2162ca88422033a8,metro_city,m16_25,m21_30,dong,197,8,59,97,29,4,25.0,대전광역시,서구,도안동,,도안동
apartment,02195f67e17cae5da4b1f6c40c3803326e58190d26da9d88c291d4c15fa793b0,metro,ge26,m21_30,dong,179,5,51,73,45,5,28.0,경기도,하남시,풍산동,,풍산동
apartment,021c89694e307fd27ab57847b78a63fe6845c44ebdb0e2183d936a36b17d1387,other_urban,m16_25,m21_30,dong,192,11,48,90,41,2,25.0,경상남도,창원시,마산회원구,양덕동,양덕동
apartment,022a9a9f0c84e4ca7837b3e1ff0ab3bf80144f51d07826652123d6e6734ffca9,metro,m16_25,le20,dong,181,6,39,82,48,6,20.0,서울특별시,양천구,신월동,,신월동
apartment,0232f649b72540bdc589e91100777f2fd6c30f466934125735403332c34ceb2a,metro,le15,le20,eup,161,9,31,63,46,12,15.0,경기도,평택시,청북읍,,청북읍
apartment,0250a856e5cd41769a2ba856f4cdc388e4e80055a4c55ba73266789ee5b63243,metro,m16_25,le20,dong,213,6,55,86,56,10,20.0,경기도,고양시,덕양구,향동동,향동동
apartment,0251612caba758f9bc138f39e61374930a91bed4632f7cb67c37037bb1d7224e,metro,m16_25,le20,dong,349,16,104,125,90,14,20.0,경기도,오산시,부산동,,부산동
apartment,0251a087615383af85b83b17521b32d2a7e598bee8a115c787dfc2e35bae4458,metro,m16_25,le20,dong,100,8,25,46,20,1,19.0,경기도,남양주시,평내동,,평내동
apartment,025d16a4eaf00611361c478e95e16c9a1544c1958c820d6a1f78594c1a118292,other_urban,le15,le20,dong,87,10,22,41,9,5,15.0,강원특별자치도,강릉시,교동,,교동
apartment,028af900140ca6b23335733597a188f6a07a55f05e08fbc67200c3b8b9c35dd0,metro,m16_25,le20,eup,225,9,57,82,59,18,19.0,경기도,용인시,처인구,포곡읍,포곡읍
apartment,0291cb981703209de3387d9731651dbbdeba66ce1caf0b80811dc8b085c90c19,metro,m16_25,m21_30,dong,298,14,74,156,51,3,21.0,서울특별시,송파구,장지동,,장지동
apartment,029c65d833d044cda9dadc407563b9f2814ad55ef2c69879e2c430c1003d9c7e,other_urban,m16_25,le20,dong,66,5,19,27,13,2,19.0,충청남도,논산시,내동,,내동
apartment,029e9691b1e1984670560594f87aaf124b01c2841b1b2021707309c8777a91d2,nonurban,m16_25,m21_30,eup,429,8,110,206,99,6,25.0,경상북도,구미시,산동읍,,산동읍
