sido_name,sigungu_name,sigungu_code,land_category,region_type,direction_large,delta_median_large,direction_tiny,n,p90_p50,population,urban_share,median_unit_price,direction_within,delta_median_within,ci_lo_within,ci_hi_within,within_vs_cell,n_dongs_both,within_reason
인천광역시,옹진군,28720,답,gun,lower,-0.8967,neutral,718,4.2744,19632,0.812,9.8,lower,-0.9185,-0.9231,-0.8607,same,12,
인천광역시,옹진군,28720,대,gun,neutral,0.0063,neutral,294,3.1369,19632,1.0,15.5,neutral,-0.0958,-0.3785,0.619,same,13,
인천광역시,옹진군,28720,전,gun,lower,-0.8636,neutral,936,3.8702,19632,0.9829,10.6,lower,-0.8787,-0.9103,-0.7835,same,21,
대전광역시,동구,30110,대,metro_gu,lower,-0.161,lower,564,2.7977,218664,1.0,142.95,neutral,-0.1211,-0.3613,0.0707,to_neutral,18,
대전광역시,중구,30140,대,metro_gu,neutral,0.0393,lower,829,3.5553,225645,1.0,163.4,neutral,0.4819,-0.0119,0.9903,same,16,
대전광역시,서구,30170,대,metro_gu,neutral,0.2207,lower,422,2.736,463351,0.9953,187.05,neutral,0.1682,-0.1885,0.8882,same,13,
대전광역시,유성구,30200,대,metro_gu,higher,0.8196,lower,569,3.0709,367534,1.0,225.5,higher,1.181,0.6181,1.5011,same,16,
대전광역시,대덕구,30230,대,metro_gu,neutral,0.0547,neutral,304,2.9634,165535,1.0,106.35,neutral,0.0505,-0.3153,0.6496,same,12,
울산광역시,중구,31110,대,metro_gu,neutral,0.1664,neutral,303,2.9787,204169,1.0,233.2,neutral,0.0559,-0.2281,0.4935,same,13,
울산광역시,남구,31140,대,metro_gu,lower,-0.6287,lower,347,2.9997,304128,1.0,400.0,lower,-0.5468,-0.668,-0.2539,same,7,
울산광역시,울주군,31710,답,gun,lower,-0.4051,higher,3465,3.1663,219166,0.9616,15.2,lower,-0.3649,-0.4437,-0.244,same,83,
울산광역시,울주군,31710,대,gun,lower,-0.1893,lower,1086,2.7724,219166,0.9991,59.4,lower,-0.2621,-0.4368,-0.1344,same,37,
울산광역시,울주군,31710,전,gun,lower,-0.3968,higher,1512,3.6683,219166,0.9888,21.8,lower,-0.4481,-0.5717,-0.2469,same,59,
세종특별자치시,전의면,36110,답,urban_rural,lower,-0.2783,higher,1544,1.6185,391965,0.7448,21.0,lower,-0.1911,-0.3609,-0.0412,same,57,
세종특별자치시,장군면,36110,답,urban_rural,lower,-0.2783,higher,1544,1.6185,391965,0.7448,21.0,lower,-0.1911,-0.3609,-0.0412,same,57,
세종특별자치시,부강면,36110,답,urban_rural,lower,-0.2783,higher,1544,1.6185,391965,0.7448,21.0,lower,-0.1911,-0.3609,-0.0412,same,57,
세종특별자치시,금남면,36110,대,urban_rural,lower,-0.2665,lower,1075,1.3659,391965,0.9814,73.0,lower,-0.2718,-0.4157,-0.1664,same,37,
