sido_code,sido_name,sigungu_code,sigungu_name,land_category,region_type,n,area_p10,area_p50,area_p75,area_p90,p90_p50,n_ge_300,n_ge_500,n_ge_1000,n_ge_3000,n_ge_5000,n_dongs,dong_n_median,eligible,gate_reasons,n_tier,b_preview
12,전남광주통합특별시,12210,동구,전,metro_gu,117,23.6,347.0,875.0,1656.0,4.7723,64,46,28,1,0,10,12.5,False,['no_gate_for_type_jimok'],ok,B_ok
12,전남광주통합특별시,12240,서구,답,metro_gu,238,68.7,742.5,1453.25,2967.1,3.9961,162,141,102,20,0,17,9.0,False,['no_gate_for_type_jimok'],good,B_ok
12,전남광주통합특별시,12240,서구,대,metro_gu,425,8.0,102.0,182.0,320.6,3.1431,45,17,6,2,0,17,12.0,True,[],better,B_ok
12,전남광주통합특별시,12240,서구,전,metro_gu,204,11.0,144.5,494.75,1090.1,7.5439,75,51,26,2,1,16,9.0,False,['no_gate_for_type_jimok'],good,B_ok
12,전남광주통합특별시,12270,남구,답,metro_gu,410,131.2,1274.5,2087.25,3309.2,2.5965,348,310,243,51,3,22,15.5,False,['no_gate_for_type_jimok'],better,B_ok
12,전남광주통합특별시,12270,남구,대,metro_gu,449,10.0,113.5,248.0,420.6,3.7057,87,37,7,2,2,30,8.0,True,[],better,B_ok
12,전남광주통합특별시,12270,남구,전,metro_gu,263,36.0,294.0,849.0,1398.0,4.7551,131,105,47,4,1,26,8.5,False,['no_gate_for_type_jimok'],good,B_ok
12,전남광주통합특별시,12300,북구,답,metro_gu,626,56.5,681.75,1441.75,2514.0,3.6876,451,360,243,41,0,31,18.0,False,['no_gate_for_type_jimok'],better,B_ok
12,전남광주통합특별시,12300,북구,대,metro_gu,599,10.9,162.0,301.0,508.6,3.1395,162,62,16,10,9,38,14.0,True,[],better,B_ok
12,전남광주통합특별시,12300,북구,전,metro_gu,408,31.7,364.0,909.0,1440.77,3.9582,224,177,91,4,0,34,9.5,False,['no_gate_for_type_jimok'],better,B_ok
12,전남광주통합특별시,12330,광산구,답,metro_gu,1485,147.2,1046.0,1983.0,2954.0,2.8241,1232,1094,776,128,13,72,17.5,False,['no_gate_for_type_jimok'],better,B_ok
12,전남광주통합특별시,12330,광산구,대,metro_gu,977,27.0,223.0,357.3,586.28,2.6291,328,142,31,10,4,71,5.0,True,[],better,B_skip
