sido_name,sigungu_name,sigungu_code,land_category,region_type,n,n_tiny,n_body,n_large,n_below_floor,area_p25,area_p75,area_p90,tiny_aux,delta_mean_large,delta_median_large,ci_lo_large,ci_hi_large,direction_large,delta_mean_tiny,delta_median_tiny,ci_lo_tiny,ci_hi_tiny,direction_tiny
충청북도,음성군,43770,전,gun,4825,1028,2413,483,179,303.0,1610.0,2703.4,True,-0.2358,-0.1618,-0.2394,-0.0758,lower,0.4027,0.2647,0.1594,0.3382,higher
충청북도,단양군,43800,대,gun,500,116,250,50,9,130.75,413.25,624.6,True,-0.2187,-0.1935,-0.3478,0.1819,neutral,0.2347,0.2258,0.041,0.5329,higher
충청북도,단양군,43800,전,gun,2788,656,1394,279,41,389.25,1852.0,3441.3,True,-0.2985,-0.1481,-0.25,-0.0769,lower,0.3636,0.1481,0.069,0.2593,higher
충청남도,천안시 동남구,44131,대,urban_rural,1411,239,706,143,114,58.5,441.0,694.0,True,-0.2947,-0.3541,-0.5094,-0.202,lower,0.8815,1.823,1.1351,2.178,higher
충청남도,천안시 동남구,44131,전,urban_rural,3307,684,1652,332,144,276.0,1380.0,2228.0,True,-0.2941,-0.317,-0.3652,-0.1835,lower,0.683,0.3661,0.2821,0.6126,higher
충청남도,천안시 서북구,44133,대,urban_rural,1173,264,586,118,31,112.0,483.0,830.8,True,0.1083,0.1404,-0.1684,0.7236,neutral,-0.2212,-0.132,-0.3121,0.1611,neutral
충청남도,천안시 서북구,44133,전,urban_rural,2003,349,1002,201,152,188.5,1236.0,2187.8,True,-0.2801,-0.2308,-0.3406,-0.1094,lower,0.158,0.095,-0.0381,0.2285,neutral
충청남도,공주시,44150,대,urban_rural,1525,353,762,153,29,133.6,542.1,837.4,True,-0.2059,-0.3261,-0.462,0.0002,neutral,0.3219,0.2609,0.0966,0.6015,higher
충청남도,공주시,44150,전,urban_rural,3788,877,1890,380,74,288.0,1217.5,2007.0,True,-0.4363,-0.3226,-0.4,-0.2339,lower,0.4351,0.2258,0.1231,0.3871,higher
충청남도,보령시,44180,전,urban_rural,2603,621,1297,261,34,268.0,1151.0,1818.26,True,-0.3302,-0.2683,-0.3333,-0.15,lower,0.3762,0.3902,0.2444,0.6098,higher
충청남도,아산시,44200,대,urban_rural,2338,518,1171,234,68,105.8,486.0,759.1,True,-0.0815,-0.2137,-0.4201,-0.0714,lower,0.1594,0.0494,-0.1385,0.2943,neutral
충청남도,아산시,44200,전,urban_rural,4901,1023,2445,491,210,195.0,1107.0,1932.0,True,-0.2134,-0.1987,-0.2781,-0.1155,lower,0.4064,0.404,0.2781,0.5725,higher
충청남도,서산시,44210,답,urban_rural,6537,1536,3267,654,101,661.0,2945.0,4896.6,True,-0.349,0.0,0.0,0.0,neutral,2.7402,1.625,1.5,1.9167,higher
충청남도,서산시,44210,대,urban_rural,1339,295,669,134,40,133.5,508.5,738.22,True,-0.448,-0.4404,-0.5041,-0.3182,lower,0.1827,0.6239,0.1652,1.0,higher
충청남도,서산시,44210,전,urban_rural,4578,1024,2281,458,129,222.0,1157.0,2064.8,True,-0.4898,-0.3607,-0.4098,-0.3115,lower,0.7516,0.5328,0.3871,0.6393,higher
충청남도,논산시,44230,대,urban_rural,1865,415,937,188,52,104.0,476.0,707.0,True,-0.286,-0.0671,-0.2135,0.1049,neutral,0.6716,0.4878,0.2921,0.8003,higher
충청남도,논산시,44230,전,urban_rural,3728,822,1863,374,111,268.0,1254.5,2093.0,True,-0.3334,-0.1889,-0.2391,-0.093,lower,0.475,0.1111,0.0202,0.2444,higher
충청남도,당진시,44270,대,urban_rural,1595,377,800,160,23,182.0,526.0,789.2,True,0.2105,-0.1608,-0.3396,0.1021,neutral,0.1281,0.0611,-0.142,0.3135,neutral
충청남도,당진시,44270,전,urban_rural,4196,937,2096,420,114,235.0,1075.25,1981.5,True,-0.3146,-0.2208,-0.2727,-0.1818,lower,0.6649,0.1818,0.1358,0.3026,higher
충청남도,금산군,44710,대,gun,796,181,395,83,21,122.0,406.25,575.0,True,-0.092,0.019,-0.1864,0.2577,neutral,0.2621,0.1238,-0.0763,0.3333,neutral
충청남도,부여군,44760,대,gun,1295,302,647,130,23,122.0,483.0,719.4,True,-0.2475,-0.2128,-0.3236,-0.0555,lower,0.8306,0.266,0.0816,0.5336,higher
충청남도,부여군,44760,전,gun,2482,570,1234,249,59,278.0,1117.0,1863.7,True,-0.1293,-0.16,-0.2222,0.0,neutral,0.6218,0.28,0.1481,0.4004,higher
충청남도,서천군,44770,대,gun,1218,280,605,122,28,122.0,448.25,660.3,True,0.0233,-0.1765,-0.2778,-0.0208,lower,0.4959,0.4902,0.1509,0.8432,higher
충청남도,청양군,44790,대,gun,536,127,268,54,7,176.78,559.75,769.0,True,-0.2869,-0.044,-0.2917,0.1778,neutral,0.5124,0.3187,0.0199,0.4726,higher
충청남도,홍성군,44800,대,gun,1025,246,508,103,15,145.0,483.0,765.8,True,-0.4081,-0.3552,-0.5111,-0.2168,lower,-0.1358,0.1311,-0.1827,0.4589,neutral
충청남도,홍성군,44800,전,gun,3309,755,1653,332,74,314.0,1237.0,2036.0,True,-0.3303,-0.1892,-0.2821,-0.1081,lower,0.7767,0.2703,0.1538,0.4324,higher
충청남도,예산군,44810,대,gun,1338,305,669,134,30,115.25,483.0,760.8,True,0.2561,-0.2105,-0.399,0.0421,neutral,0.2178,0.6211,0.3009,0.9897,higher
충청남도,예산군,44810,전,gun,3729,853,1866,373,81,225.0,1150.0,1978.0,True,-0.2659,-0.1136,-0.1818,-0.0714,lower,0.9768,0.4091,0.3333,0.5349,higher
충청남도,태안군,44825,대,gun,1047,242,523,105,20,170.5,454.0,702.6,True,-0.3021,-0.4297,-0.5932,-0.1379,lower,0.0798,0.0938,-0.1644,0.4484,neutral
충청남도,태안군,44825,전,gun,3701,857,1848,371,71,271.0,1194.0,2117.0,True,-0.2744,-0.2623,-0.3607,-0.2167,lower,0.2887,0.1475,0.0656,0.2167,higher
경상북도,포항시 남구,47111,대,urban_rural,1143,225,570,116,62,58.0,303.55,476.0,True,0.2726,0.3733,0.0639,0.6911,higher,0.6652,0.2378,0.0897,0.7681,higher
경상북도,포항시 남구,47111,전,urban_rural,1055,202,527,106,62,181.5,1020.0,1874.6,True,-0.481,-0.5515,-0.6493,-0.3478,lower,0.4489,0.4559,0.2857,0.7561,higher
경상북도,포항시 북구,47113,대,urban_rural,1652,331,825,166,83,70.0,357.25,541.89,True,-0.131,-0.536,-0.6681,-0.1253,lower,0.5035,0.4847,0.22,0.8562,higher
경상북도,포항시 북구,47113,전,urban_rural,1987,443,993,199,54,287.5,1308.5,2254.4,True,-0.5747,-0.4737,-0.55,-0.3889,lower,0.4757,0.3158,0.0156,0.5769,higher
경상북도,경주시,47130,대,urban_rural,2061,415,1036,207,102,68.0,390.0,591.8,True,-0.1774,-0.0661,-0.2586,0.1761,neutral,0.3855,0.3636,0.2209,0.576,higher
경상북도,경주시,47130,전,urban_rural,4091,858,2044,410,168,225.0,1031.0,1881.0,True,-0.3961,-0.4659,-0.5,-0.3765,lower,0.4715,0.3636,0.2184,0.5714,higher
경상북도,안동시,47170,대,urban_rural,1458,335,728,146,30,134.25,489.5,798.8,True,0.2064,-0.094,-0.4304,0.4614,neutral,0.8221,2.4765,1.8266,3.7482,higher
경상북도,영주시,47210,전,urban_rural,3115,743,1558,312,36,514.0,2456.0,3965.8,True,-0.2752,0.0,-0.0769,0.125,neutral,0.6175,0.1154,0.0385,0.2402,higher
경상북도,영천시,47230,전,urban_rural,2706,630,1351,274,48,287.0,1192.25,1983.0,True,-0.2588,-0.1818,-0.2727,-0.068,lower,0.5167,0.2955,0.1737,0.4167,higher
경상북도,문경시,47280,대,urban_rural,1063,235,530,107,32,103.0,484.5,736.24,True,-0.1275,-0.2824,-0.3297,-0.0065,lower,0.0836,0.6471,0.3684,0.9872,higher
경상북도,문경시,47280,전,urban_rural,2062,486,1030,209,30,408.5,1926.25,3081.0,True,-0.1239,0.08,-0.0385,0.25,neutral,0.8128,0.44,0.2222,0.625,higher
경상북도,경산시,47290,대,urban_rural,712,130,355,72,49,46.0,321.48,573.9,True,0.0525,-0.0479,-0.2947,0.3817,neutral,0.16,0.2536,-0.035,0.9822,neutral
경상북도,경산시,47290,전,urban_rural,1229,245,613,123,64,172.0,1000.0,1680.8,True,-0.4679,0.018,-0.1453,0.1636,neutral,0.5743,0.7928,0.3884,1.2224,higher
경상북도,의성군,47730,대,gun,1136,262,568,114,22,119.75,384.55,549.5,True,-0.2886,-0.2174,-0.402,-0.0999,lower,0.9154,0.1957,-0.0324,0.3903,neutral
경상북도,청송군,47750,대,gun,639,136,318,65,25,139.0,416.65,579.0,True,-0.02,-0.0444,-0.3727,0.2174,neutral,1.7028,0.6667,0.1284,1.1765,higher
