통계표,계정항목,단위,변환,2025/08,2025/09,2025/10,2025/11,2025/12,2026/01,2026/02,2026/03,2026/04,2026/05,2026/06,2026/07,2026/08,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"1.5.1.2. 주식시장(월,년)","  KOSDAQ_종목수","종목","원자료","1,805","1,805","1,801","1,811","1,830","1,823","1,820","1,822","1,823","1,822","1,824","1,820","1,823","1,035","1,036","1,010","1,014","1,065","1,154","1,212","1,270","1,326","1,408","1,471","1,536","1,615","1,705","1,784","1,830"
"1.5.1.2. 주식시장(월,년)","  KOSDAQ_상장주식수","주 ","원자료","55,806,837,057","54,479,608,420","54,444,393,437","54,674,183,458","54,959,676,659","55,188,598,057","55,392,056,315","55,147,691,211","54,215,770,870","48,335,455,332","46,918,891,278","45,992,373,967","44,315,944,347","23,370,749,084","21,440,466,689","21,012,176,579","21,335,092,310","22,787,238,344","24,913,239,376","28,890,556,857","33,758,056,019","36,397,928,717","39,415,054,172","43,416,084,386","46,583,694,959","48,737,548,363","52,483,485,083","54,954,316,412","54,959,676,659"
"1.5.1.2. 주식시장(월,년)","  KOSDAQ_시가총액","천원","원자료","418,982,507,059","444,562,528,239","474,718,249,634","487,358,344,851","505,926,194,386","630,522,540,400","655,298,804,503","582,561,125,365","661,991,784,935","600,442,788,908","513,943,552,746","400,198,284,746","466,998,839,077","97,972,256,179","105,993,581,052","109,121,943,100","119,292,529,289","143,087,772,099","201,631,307,400","201,523,388,184","282,740,051,438","228,238,295,556","241,350,997,493","385,582,620,024","446,297,029,882","315,498,720,104","431,792,284,697","340,145,082,909","505,926,194,386"
"1.5.1.2. 주식시장(월,년)","  KOSDAQ_거래량","주 ","원자료","16,630,208,400","21,551,733,600","16,333,447,706","16,794,025,189","18,155,373,725","25,912,758,512","22,947,883,191","25,369,195,709","31,065,470,146","20,807,358,390","14,022,301,897","11,434,887,144","10,925,284,883","161,403,278,402","134,765,011,674","146,477,801,533","97,590,991,223","86,861,904,905","149,904,713,239","170,802,600,586","178,695,183,902","193,434,827,199","202,851,476,315","404,649,927,848","435,394,511,710","254,361,405,193","273,926,982,966","236,095,549,130","219,791,968,898"
"1.5.1.2. 주식시장(월,년)","  KOSDAQ_거래대금","천원","원자료","100,668,235,498","169,209,460,510","159,926,217,855","189,589,986,341","240,657,588,306","313,156,886,354","235,463,233,882","287,919,270,940","309,747,034,047","280,190,529,235","210,271,141,359","134,554,782,994","119,737,402,801","483,091,095,870","558,007,014,423","528,028,206,292","450,369,029,417","482,730,926,421","873,782,290,674","834,912,692,654","896,308,979,777","1,201,858,114,914","1,060,120,505,546","2,682,186,743,679","2,941,605,104,849","1,697,552,064,206","2,456,014,712,436","2,048,076,963,842","1,826,510,350,100"
"1.5.1.2. 주식시장(월,년)","  KOSDAQ_거래량 일평균","주 ","원자료","831,510,420","979,624,255","907,413,761","839,701,259","864,541,606","1,233,940,882","1,349,875,482","1,208,056,939","1,412,066,825","1,155,964,355","667,728,662","519,767,597","546,264,244","643,040,950","543,407,305","590,636,297","395,105,228","354,538,387","604,454,489","694,319,515","735,371,127","792,765,685","824,599,497","1,631,652,935","1,755,623,031","1,033,989,452","1,118,069,318","967,604,710","908,231,276"
"1.5.1.2. 주식시장(월,년)","  KOSDAQ_거래대금 일평균","천원","원자료","5,033,411,775","7,691,339,114","8,884,789,881","9,479,499,317","11,459,885,157","14,912,232,684","13,850,778,464","13,710,441,473","14,079,410,639","15,566,140,513","10,012,911,493","6,116,126,500","5,986,870,140","1,924,665,721","2,250,028,284","2,129,145,993","1,823,356,394","1,970,330,312","3,523,315,688","3,393,954,035","3,688,514,320","4,925,648,012","4,309,432,949","10,815,269,128","11,861,310,907","6,900,618,147","10,024,549,847","8,393,758,049","7,547,563,430"
"1.5.1.2. 주식시장(월,년)","  KOSDAQ_종가","1996.07.01=1000","원자료","796.91","841.99","900.42","912.67","925.47","1,149.44","1,192.78","1,052.39","1,192.35","1,074.80","916.18","719.76","834.29","510.69","500.18","496.32","499.99","542.97","682.35","631.44","798.42","675.65","669.83","968.42","1,033.98","679.29","866.57","678.19","925.47"
"1.5.1.2. 주식시장(월,년)","  KOSDAQ_평균","1996.07.01=1000","원자료","797.13","836.59","874.37","890.22","925.13","995.23","1,138.17","1,125.02","1,138.84","1,151.04","970.59","784.29","824.73","503.59","498.34","502.38","531.02","545.41","674.52","669.74","662.21","806.79","682.34","753.05","996.02","816.32","835.16","803.62","794.26"
"1.5.1.2. 주식시장(월,년)","  KOSDAQ_상장주식 회전율","%","원자료","29.90","39.07","29.97","30.77","33.15","46.98","41.52","45.93","56.28","40.57","29.37","24.64","24.07","687.43","598.93","686.55","467.11","399.42","633.60","647.86","572.66","556.69","540.71","976.34","966.59","539.55","541.92","432.78","398.20"
