통계표,계정항목,단위,변환,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025 p)
"2.1.1.1. 주요지표(연간지표)","  국민총소득","%","원자료","7.5","1.7","3.0","3.9","3.5","6.5","4.6","3.2","2.0","0.6","0.1","3.9","-0.5","1.7","4.3","2.1"
"2.1.1.1. 주요지표(연간지표)","  최종소비지출(실질증감률)","%","원자료","4.7","3.1","2.3","2.5","2.6","2.9","3.1","3.1","3.8","3.3","-2.2","4.2","4.2","2.0","1.6","1.8"
"2.1.1.1. 주요지표(연간지표)","    민간","%","원자료","4.5","3.1","1.7","1.8","2.1","2.6","2.8","2.9","3.3","2.4","-4.6","3.7","4.2","2.1","1.3","1.5"
"2.1.1.1. 주요지표(연간지표)","    정부","%","원자료","5.7","2.9","4.7","4.9","4.3","3.9","4.3","3.7","5.4","6.4","5.2","5.6","4.0","1.9","2.2","2.7"
"2.1.1.1. 주요지표(연간지표)","  총고정자본형성","%","원자료","6.7","1.9","-0.3","2.4","3.6","5.3","6.8","9.9","-2.0","-2.1","2.8","4.3","-0.2","-0.2","-0.1","-3.4"
"2.1.1.1. 주요지표(연간지표)","    총고정자본형성(민간)","%","원자료","11.8","3.3","0.2","2.1","5.4","5.3","6.8","11.2","-2.7","-4.3","2.6","6.0","1.1","-1.3","-0.7","-3.9"
"2.1.1.1. 주요지표(연간지표)","    총고정자본형성(정부)","%","원자료","-13.6","-5.1","-2.8","4.2","-6.3","5.0","6.9","2.3","2.8","11.6","3.6","-4.5","-7.7","6.1","2.8","-0.2"
"2.1.1.1. 주요지표(연간지표)","    건설투자","%","원자료","-3.4","-2.8","-3.3","6.3","1.6","7.5","10.3","7.6","-4.2","-1.3","1.7","-0.2","-3.5","-0.5","-2.0","-9.7"
"2.1.1.1. 주요지표(연간지표)","    (건물건설)","%","원자료","-0.9","-1.6","-1.0","11.9","6.3","9.7","17.3","12.8","-5.1","-3.8","0.3","3.1","-0.7","-2.4","-3.9","-10.4"
"2.1.1.1. 주요지표(연간지표)","    (토목건설)","%","원자료","-6.5","-4.4","-6.2","-1.5","-5.9","3.5","-3.0","-4.5","-1.6","5.4","5.0","-7.8","-10.7","5.0","2.8","-8.0"
"2.1.1.1. 주요지표(연간지표)","    설비투자","%","원자료","23.9","6.1","0.6","-4.2","5.8","4.8","3.1","15.4","-2.2","-6.3","4.3","10.2","-0.3","-0.2","1.0","1.5"
"2.1.1.1. 주요지표(연간지표)","    (기계류)","%","원자료","29.0","6.0","2.6","-5.9","5.0","4.6","2.4","19.4","-4.6","-9.1","5.4","13.2","1.9","-0.1","-0.1","1.1"
"2.1.1.1. 주요지표(연간지표)","    (운송장비)","%","원자료","8.0","6.7","-6.7","2.8","8.6","5.5","5.4","2.3","6.8","3.2","1.1","0.8","-7.8","-0.4","5.1","2.5"
"2.1.1.1. 주요지표(연간지표)","    지식재산생산물투자","%","원자료","6.6","7.2","6.3","5.2","5.0","0.8","4.3","6.9","4.2","2.7","3.0","6.5","7.6","0.2","2.4","3.0"
"2.1.1.1. 주요지표(연간지표)","  재화와 서비스의 수출","%","원자료","13.1","15.6","6.0","4.0","2.1","0.0","2.5","2.5","3.8","-0.2","-1.7","11.8","4.0","3.5","7.6","4.3"
"2.1.1.1. 주요지표(연간지표)","    (재화)","%","원자료","13.9","17.3","5.3","4.1","1.2","-0.6","1.9","4.2","2.8","-1.5","0.1","12.0","3.9","2.3","7.1","3.3"
"2.1.1.1. 주요지표(연간지표)","  재화와 서비스의 수입","%","원자료","17.8","14.6","2.6","1.9","1.4","1.9","5.4","7.9","1.6","-2.0","-3.3","11.2","4.0","2.2","3.8","3.3"
"2.1.1.1. 주요지표(연간지표)","    (재화)","%","원자료","19.7","17.8","2.2","1.5","0.4","0.5","4.0","7.5","1.9","-2.7","0.2","13.0","4.5","-2.3","2.2","1.9"
"2.1.1.1. 주요지표(연간지표)","  국내총생산(명목성장률)","%","원자료","9.9","5.0","3.9","4.4","4.3","6.2","5.3","5.5","3.8","1.7","0.9","8.0","4.7","3.4","6.5","4.4"
"2.1.1.1. 주요지표(연간지표)","    피용자보수","%","원자료","7.1","6.8","4.7","5.5","6.0","6.7","4.9","4.8","5.5","5.3","2.4","5.4","6.3","6.0","4.7","3.8"
