change_type,historical_code,historical_name,historical_status,canonical_code,canonical_name,canonical_candidates,rationale,in_region_codes,region_codes_active,region_codes_eup_name,tx_count_historical,tx_count_canonical,stats_v2_historical,stats_v2_canonical,exemplar,notes
code_reissue,4159025326,경기도 화성시 봉담읍 수기리,폐지,4159325026,경기도 화성시 효행구 봉담읍 수기리,4159325026|경기도 화성시 효행구 봉담읍 수기리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('봉담읍' '수기리'), 시군구 41590→41593, 코드 4159025326→4159325026",True,True,봉담읍,387,0,288,0,,
code_reissue,4159025327,경기도 화성시 봉담읍 분천리,폐지,4159325027,경기도 화성시 효행구 봉담읍 분천리,4159325027|경기도 화성시 효행구 봉담읍 분천리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('봉담읍' '분천리'), 시군구 41590→41593, 코드 4159025327→4159325027",True,True,봉담읍,985,0,453,0,,
code_reissue,4159025328,경기도 화성시 봉담읍 왕림리,폐지,4159325028,경기도 화성시 효행구 봉담읍 왕림리,4159325028|경기도 화성시 효행구 봉담읍 왕림리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('봉담읍' '왕림리'), 시군구 41590→41593, 코드 4159025328→4159325028",True,True,봉담읍,1023,0,332,0,,
code_reissue,4159025329,경기도 화성시 봉담읍 세곡리,폐지,4159325029,경기도 화성시 효행구 봉담읍 세곡리,4159325029|경기도 화성시 효행구 봉담읍 세곡리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('봉담읍' '세곡리'), 시군구 41590→41593, 코드 4159025329→4159325029",True,True,봉담읍,164,0,177,0,,
code_reissue,4159025330,경기도 화성시 봉담읍 당하리,폐지,4159325030,경기도 화성시 효행구 봉담읍 당하리,4159325030|경기도 화성시 효행구 봉담읍 당하리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('봉담읍' '당하리'), 시군구 41590→41593, 코드 4159025330→4159325030",True,True,봉담읍,359,0,290,0,,
code_reissue,4159025331,경기도 화성시 봉담읍 마하리,폐지,4159325031,경기도 화성시 효행구 봉담읍 마하리,4159325031|경기도 화성시 효행구 봉담읍 마하리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('봉담읍' '마하리'), 시군구 41590→41593, 코드 4159025331→4159325031",True,True,봉담읍,300,0,414,0,,
code_reissue,4159025332,경기도 화성시 봉담읍 유리,폐지,4159325032,경기도 화성시 효행구 봉담읍 유리,4159325032|경기도 화성시 효행구 봉담읍 유리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('봉담읍' '유리'), 시군구 41590→41593, 코드 4159025332→4159325032",True,True,봉담읍,219,0,176,0,,
code_reissue,4159025333,경기도 화성시 봉담읍 덕리,폐지,4159325033,경기도 화성시 효행구 봉담읍 덕리,4159325033|경기도 화성시 효행구 봉담읍 덕리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('봉담읍' '덕리'), 시군구 41590→41593, 코드 4159025333→4159325033",True,True,봉담읍,230,0,193,0,,
code_reissue,4159025334,경기도 화성시 봉담읍 덕우리,폐지,4159325034,경기도 화성시 효행구 봉담읍 덕우리,4159325034|경기도 화성시 효행구 봉담읍 덕우리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('봉담읍' '덕우리'), 시군구 41590→41593, 코드 4159025334→4159325034",True,True,봉담읍,642,0,326,0,,
code_reissue,4159025335,경기도 화성시 봉담읍 하가등리,폐지,4159325035,경기도 화성시 효행구 봉담읍 하가등리,4159325035|경기도 화성시 효행구 봉담읍 하가등리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('봉담읍' '하가등리'), 시군구 41590→41593, 코드 4159025335→4159325035",True,True,봉담읍,738,0,241,0,,
