historical_code,canonical_code,historical_name,canonical_name,tx_count_historical,tx_count_db,mapping_ok,action,exemplar
4159025933,4159125333,경기도 화성시 향남읍 갈천리,경기도 화성시 만세구 향남읍 갈천리,416,416,True,already_present,
4159025934,4159125334,경기도 화성시 향남읍 증거리,경기도 화성시 만세구 향남읍 증거리,1650,1650,True,already_present,
4159025935,4159125335,경기도 화성시 향남읍 송곡리,경기도 화성시 만세구 향남읍 송곡리,1513,1513,True,already_present,
4159025936,4159125336,경기도 화성시 향남읍 동오리,경기도 화성시 만세구 향남읍 동오리,4068,4068,True,already_present,
4159025937,4159125337,경기도 화성시 향남읍 관리,경기도 화성시 만세구 향남읍 관리,598,598,True,already_present,
4159025938,4159125338,경기도 화성시 향남읍 도이리,경기도 화성시 만세구 향남읍 도이리,1749,1749,True,already_present,
4159025939,4159125339,경기도 화성시 향남읍 행정리,경기도 화성시 만세구 향남읍 행정리,879,879,True,already_present,
4159025940,4159125340,경기도 화성시 향남읍 방축리,경기도 화성시 만세구 향남읍 방축리,4237,4237,True,already_present,
4159025941,4159125341,경기도 화성시 향남읍 장짐리,경기도 화성시 만세구 향남읍 장짐리,1084,1084,True,already_present,
4159026221,4159125621,경기도 화성시 남양읍 남양리,경기도 화성시 만세구 남양읍 남양리,5102,5102,True,already_present,
4159026222,4159125622,경기도 화성시 남양읍 신남리,경기도 화성시 만세구 남양읍 신남리,3247,3247,True,already_present,
4159026223,4159125623,경기도 화성시 남양읍 장덕리,경기도 화성시 만세구 남양읍 장덕리,2424,2424,True,already_present,
4159026224,4159125624,경기도 화성시 남양읍 안석리,경기도 화성시 만세구 남양읍 안석리,1339,1339,True,already_present,
4159026225,4159125625,경기도 화성시 남양읍 활초리,경기도 화성시 만세구 남양읍 활초리,2452,2452,True,already_present,
4159026226,4159125626,경기도 화성시 남양읍 온석리,경기도 화성시 만세구 남양읍 온석리,1602,1602,True,already_present,
4159026227,4159125627,경기도 화성시 남양읍 무송리,경기도 화성시 만세구 남양읍 무송리,1764,1764,True,already_present,
4159026228,4159125628,경기도 화성시 남양읍 북양리,경기도 화성시 만세구 남양읍 북양리,2547,2547,True,already_present,
4159026229,4159125629,경기도 화성시 남양읍 송림리,경기도 화성시 만세구 남양읍 송림리,949,949,True,already_present,
4159026230,4159125630,경기도 화성시 남양읍 수화리,경기도 화성시 만세구 남양읍 수화리,1401,1401,True,already_present,
4159026231,4159125631,경기도 화성시 남양읍 장전리,경기도 화성시 만세구 남양읍 장전리,2565,2565,True,already_present,
4159026232,4159125632,경기도 화성시 남양읍 신외리,경기도 화성시 만세구 남양읍 신외리,1145,1145,True,already_present,
4159026233,4159125633,경기도 화성시 남양읍 문호리,경기도 화성시 만세구 남양읍 문호리,4179,4179,True,already_present,
4159026234,4159125634,경기도 화성시 남양읍 시리,경기도 화성시 만세구 남양읍 시리,2268,2268,True,already_present,
4159026235,4159125635,경기도 화성시 남양읍 원천리,경기도 화성시 만세구 남양읍 원천리,1465,1465,True,already_present,
4159031021,4159331021,경기도 화성시 매송면 천천리,경기도 화성시 효행구 매송면 천천리,754,754,True,already_present,
4159031022,4159331022,경기도 화성시 매송면 원평리,경기도 화성시 효행구 매송면 원평리,953,953,True,already_present,
4159031023,4159331023,경기도 화성시 매송면 어천리,경기도 화성시 효행구 매송면 어천리,639,639,True,already_present,
4159031024,4159331024,경기도 화성시 매송면 숙곡리,경기도 화성시 효행구 매송면 숙곡리,1219,1219,True,already_present,
4159031025,4159331025,경기도 화성시 매송면 야목리,경기도 화성시 효행구 매송면 야목리,2364,2364,True,already_present,
4159031026,4159331026,경기도 화성시 매송면 송라리,경기도 화성시 효행구 매송면 송라리,832,832,True,already_present,
4159031027,4159331027,경기도 화성시 매송면 원리,경기도 화성시 효행구 매송면 원리,585,585,True,already_present,
4159032021,4159332021,경기도 화성시 비봉면 양노리,경기도 화성시 효행구 비봉면 양노리,2548,2548,True,already_present,
4159032022,4159332022,경기도 화성시 비봉면 남전리,경기도 화성시 효행구 비봉면 남전리,1123,1123,True,already_present,
4159032023,4159332023,경기도 화성시 비봉면 유포리,경기도 화성시 효행구 비봉면 유포리,1257,1257,True,already_present,
4159032024,4159332024,경기도 화성시 비봉면 삼화리,경기도 화성시 효행구 비봉면 삼화리,1943,1943,True,already_present,
4159032025,4159332025,경기도 화성시 비봉면 구포리,경기도 화성시 효행구 비봉면 구포리,1698,1698,True,already_present,
4159032026,4159332026,경기도 화성시 비봉면 쌍학리,경기도 화성시 효행구 비봉면 쌍학리,764,764,True,already_present,
4159032027,4159332027,경기도 화성시 비봉면 청요리,경기도 화성시 효행구 비봉면 청요리,836,836,True,already_present,
4159032028,4159332028,경기도 화성시 비봉면 자안리,경기도 화성시 효행구 비봉면 자안리,677,677,True,already_present,
4159033021,4159131021,경기도 화성시 마도면 석교리,경기도 화성시 만세구 마도면 석교리,1946,1946,True,already_present,
4159033022,4159131022,경기도 화성시 마도면 두곡리,경기도 화성시 만세구 마도면 두곡리,906,906,True,already_present,
4159033023,4159131023,경기도 화성시 마도면 송정리,경기도 화성시 만세구 마도면 송정리,3522,3522,True,already_present,
4159033024,4159131024,경기도 화성시 마도면 쌍송리,경기도 화성시 만세구 마도면 쌍송리,1611,1611,True,already_present,
4159033025,4159131025,경기도 화성시 마도면 청원리,경기도 화성시 만세구 마도면 청원리,3763,3763,True,already_present,
4159033026,4159131026,경기도 화성시 마도면 슬항리,경기도 화성시 만세구 마도면 슬항리,674,674,True,already_present,
4159033027,4159131027,경기도 화성시 마도면 해문리,경기도 화성시 만세구 마도면 해문리,1135,1135,True,already_present,
4159033028,4159131028,경기도 화성시 마도면 백곡리,경기도 화성시 만세구 마도면 백곡리,740,740,True,already_present,
4159033029,4159131029,경기도 화성시 마도면 금당리,경기도 화성시 만세구 마도면 금당리,1276,1276,True,already_present,
4159033030,4159131030,경기도 화성시 마도면 고모리,경기도 화성시 만세구 마도면 고모리,1114,1114,True,already_present,
